NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
POSITIVE REGULATION OF PHOSPHATIDYLCHOLINE METABOLIC PROCESS%GOBP%GO:0150173	1		Rejected!	
PROTEIN DEGLYCOSYLATION INVOLVED IN GLYCOPROTEIN CATABOLIC PROCESS%GOBP%GO:0035977	5		Rejected!	
ELASTIC FIBER ASSEMBLY%GOBP%GO:0048251	7		Rejected!	
CELL MOTILITY INVOLVED IN CEREBRAL CORTEX RADIAL GLIA GUIDED MIGRATION%GOBP%GO:0021814	4		Rejected!	
DIPEPTIDE IMPORT ACROSS PLASMA MEMBRANE%GOBP%GO:0140206	4		Rejected!	
GLOMERULUS VASCULATURE MORPHOGENESIS%GOBP%GO:0072103	4		Rejected!	
BRANCHING MORPHOGENESIS OF A NERVE%GOBP%GO:0048755	3		Rejected!	
REGULATION OF ANTIBODY-DEPENDENT CELLULAR CYTOTOXICITY%GOBP%GO:0001813	2		Rejected!	
SPINAL CORD DORSAL/VENTRAL PATTERNING%GOBP%GO:0021513	7		Rejected!	
REGULATION OF ANGIOTENSIN LEVELS IN BLOOD%GOBP%GO:0002002	9		Rejected!	
REGULATION OF METANEPHRIC S-SHAPED BODY MORPHOGENESIS%GOBP%GO:2000004	1		Rejected!	
REGULATION OF INSULIN SECRETION INVOLVED IN CELLULAR RESPONSE TO GLUCOSE STIMULUS%GOBP%GO:0061178	28		Rejected!	
REGULATION OF NON-CANONICAL WNT SIGNALING PATHWAY VIA JNK CASCADE%GOBP%GO:1901229	1		Rejected!	
EOSINOPHIL MEDIATED IMMUNITY%GOBP%GO:0002447	5		Rejected!	
PROLINE CATABOLIC PROCESS%GOBP%GO:0006562	4		Rejected!	
REGULATION OF TORC2 SIGNALING%GOBP%GO:1903939	7		Rejected!	
REGULATION OF TOLL-LIKE RECEPTOR 2 SIGNALING PATHWAY%GOBP%GO:0034135	11		Rejected!	
POSITIVE REGULATION OF ATF6-MEDIATED UNFOLDED PROTEIN RESPONSE%GOBP%GO:1903893	1		Rejected!	
PROTEIN HETEROTETRAMERIZATION%GOBP%GO:0051290	13		Rejected!	
TERPENE METABOLIC PROCESS%GOBP%GO:0042214	2		Rejected!	
PROGESTERONE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0050847	11		Rejected!	
CELLULAR CARBOHYDRATE CATABOLIC PROCESS%GOBP%GO:0044275	20	15		
MEDIUM-CHAIN FATTY-ACYL-COA METABOLIC PROCESS%GOBP%GO:0036112	6		Rejected!	
RENAL TUBULAR SECRETION%GOBP%GO:0097254	5		Rejected!	
EGG ACTIVATION%GOBP%GO:0007343	10		Rejected!	
MELANOCYTE APOPTOTIC PROCESS%GOBP%GO:1902362	1		Rejected!	
AV NODE CELL TO BUNDLE OF HIS CELL SIGNALING%GOBP%GO:0086027	7		Rejected!	
NEGATIVE REGULATION OF GLUCOCORTICOID METABOLIC PROCESS%GOBP%GO:0031944	4		Rejected!	
MENAQUINONE BIOSYNTHETIC PROCESS%GOBP%GO:0009234	1		Rejected!	
NEGATIVE REGULATION OF ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN%GOBP%GO:0002584	4		Rejected!	
NATURAL KILLER CELL DIFFERENTIATION%GOBP%GO:0001779	8		Rejected!	
MICROTUBULE ANCHORING AT MICROTUBULE ORGANIZING CENTER%GOBP%GO:0072393	13		Rejected!	
REGULATION OF LOW-DENSITY LIPOPROTEIN PARTICLE CLEARANCE%GOBP%GO:0010988	11		Rejected!	
REGULATION OF SEROTONIN BIOSYNTHETIC PROCESS%GOBP%GO:1905627	1		Rejected!	
VIRAL BUDDING FROM PLASMA MEMBRANE%GOBP%GO:0046761	13		Rejected!	
SCF COMPLEX ASSEMBLY%GOBP%GO:0010265	2		Rejected!	
REGULATION OF PLASMA MEMBRANE RAFT POLARIZATION%GOBP%GO:1903906	1		Rejected!	
DE NOVO CENTRIOLE ASSEMBLY INVOLVED IN MULTI-CILIATED EPITHELIAL CELL DIFFERENTIATION%GOBP%GO:0098535	5		Rejected!	
DETECTION OF MOLECULE OF BACTERIAL ORIGIN%GOBP%GO:0032490	10		Rejected!	
ESTABLISHMENT OF SPINDLE ORIENTATION%GOBP%GO:0051294	36	23		
NEGATIVE REGULATION OF PROTEIN LOCALIZATION TO MICROTUBULE%GOBP%GO:1902817	2		Rejected!	
ADULT HEART DEVELOPMENT%GOBP%GO:0007512	9		Rejected!	
POSITIVE REGULATION OF IMMUNE SYSTEM PROCESS%GOBP%GO:0002684	797		Rejected!	
REGULATION OF AMYLOID-BETA FORMATION%GOBP%GO:1902003	34	31		
ACTIVATION OF PHOSPHOLIPASE C ACTIVITY%GOBP%GO:0007202	28		Rejected!	
CYTOSOLIC TRANSPORT%GOBP%GO:0016482	151	123		
REGULATION OF LEUKOCYTE CELL-CELL ADHESION%GOBP%GO:1903037	289	199		
CARNITINE TRANSPORT%GOBP%GO:0015879	8		Rejected!	
GLUTATHIONE CATABOLIC PROCESS%GOBP%GO:0006751	8		Rejected!	
TRNA 3'-TRAILER CLEAVAGE, ENDONUCLEOLYTIC%GOBP%GO:0034414	1		Rejected!	
POSITIVE REGULATION OF MITOCHONDRIAL DEPOLARIZATION%GOBP%GO:0051901	5		Rejected!	
PROTEIN LOCALIZATION TO EXTRACELLULAR REGION%GOBP%GO:0071692	84	50		
BLOOD COAGULATION, COMMON PATHWAY%GOBP%GO:0072377	2		Rejected!	
EPIDERMIS MORPHOGENESIS%GOBP%GO:0048730	14		Rejected!	
OLFACTORY NERVE MATURATION%GOBP%GO:0021630	2		Rejected!	
REGULATION OF EPITHELIAL TO MESENCHYMAL TRANSITION%GOBP%GO:0010717	90	59		
REGULATION OF MINERALOCORTICOID SECRETION%GOBP%GO:2000855	3		Rejected!	
LIMB DEVELOPMENT%GOBP%GO:0060173	69	31		
REGULATION OF MUSCLE CONTRACTION%GOBP%GO:0006937	116	58		
PYRIMIDINE-CONTAINING COMPOUND CATABOLIC PROCESS%GOBP%GO:0072529	31	21		
REGULATION OF ACYLGLYCEROL TRANSPORT%GOBP%GO:1901506	2		Rejected!	
RESPONSE TO HIGH LIGHT INTENSITY%GOBP%GO:0009644	1		Rejected!	
REGULATION OF TRANSCRIPTION FACTOR CATABOLIC PROCESS%GOBP%GO:1901483	1		Rejected!	
ZINC ION IMPORT INTO LYSOSOME%GOBP%GO:0140916	1		Rejected!	
SMOOTH MUSCLE TISSUE DEVELOPMENT%GOBP%GO:0048745	12		Rejected!	
NEGATIVE REGULATION OF PROTEIN REFOLDING%GOBP%GO:0061084	2		Rejected!	
PHOSPHATIDYLETHANOLAMINE ACYL-CHAIN REMODELING%GOBP%GO:0036152	11		Rejected!	
CARDIAC SEPTUM CELL DIFFERENTIATION%GOBP%GO:0003292	3		Rejected!	
REGULATION OF POSTSYNAPTIC NEUROTRANSMITTER RECEPTOR ACTIVITY%GOBP%GO:0098962	10		Rejected!	
MICROTUBULE CYTOSKELETON ORGANIZATION INVOLVED IN ESTABLISHMENT OF PLANAR POLARITY%GOBP%GO:0090176	2		Rejected!	
POSITIVE REGULATION OF CELL FATE DETERMINATION%GOBP%GO:1905935	1		Rejected!	
RESPONSE TO FUNGUS%GOBP%GO:0009620	33	15		
ANTEROGRADE SYNAPTIC VESICLE TRANSPORT%GOBP%GO:0048490	16		Rejected!	
NEGATIVE REGULATION OF ADENYLATE CYCLASE-ACTIVATING ADRENERGIC RECEPTOR SIGNALING PATHWAY INVOLVED IN HEART PROCESS%GOBP%GO:0140199	1		Rejected!	
CELLULAR RESPONSE TO LIGHT STIMULUS%GOBP%GO:0071482	90	68		
REGULATION OF MYOBLAST DIFFERENTIATION%GOBP%GO:0045661	56	34		
PROTEIN POLYUBIQUITINATION%GOBP%GO:0000209	224	187		
POSITIVE REGULATION OF CYTOKINE PRODUCTION%GOBP%GO:0001819	406		Rejected!	
NEGATIVE REGULATION OF DOUBLE-STRAND BREAK REPAIR%GOBP%GO:2000780	36	21		
INTRACELLULAR PH ELEVATION%GOBP%GO:0051454	8		Rejected!	
CELLULAR RESPONSE TO SORBITOL%GOBP%GO:0072709	1		Rejected!	
REGULATION OF HYDROGEN PEROXIDE BIOSYNTHETIC PROCESS%GOBP%GO:0010728	5		Rejected!	
POSITIVE REGULATION OF PROTEIN K63-LINKED UBIQUITINATION%GOBP%GO:1902523	7		Rejected!	
REGULATION OF MUSCLE ORGAN DEVELOPMENT%GOBP%GO:0048634	14		Rejected!	
IMMUNOGLOBULIN PRODUCTION%GOBP%GO:0002377	30	20		
NEGATIVE REGULATION OF CIRCADIAN RHYTHM%GOBP%GO:0042754	10		Rejected!	
RESPONSE TO LIPOPOLYSACCHARIDE%GOBP%GO:0032496	170	119		
NEGATIVE REGULATION OF HISTONE MODIFICATION%GOBP%GO:0031057	19		Rejected!	
MITOCHONDRIAL COENZYME A TRANSMEMBRANE TRANSPORT%GOBP%GO:1990559	1		Rejected!	
RESPONSE TO ALDOSTERONE%GOBP%GO:1904044	4		Rejected!	
GERM-LINE SEX DETERMINATION%GOBP%GO:0018992	1		Rejected!	
HOMOLOGOUS CHROMOSOME MOVEMENT TOWARDS SPINDLE POLE IN MEIOSIS I ANAPHASE%GOBP%GO:0051758	1		Rejected!	
REGULATION OF MONOATOMIC ION TRANSPORT%GOBP%GO:0043269	371	175		
LONG-CHAIN FATTY ACID METABOLIC PROCESS%GOBP%GO:0001676	100	51		
ESTABLISHMENT OR MAINTENANCE OF NEUROBLAST POLARITY%GOBP%GO:0045196	3		Rejected!	
REGULATION OF TRANSEPITHELIAL TRANSPORT%GOBP%GO:0150111	4		Rejected!	
CELL PROLIFERATION INVOLVED IN ENDOCARDIAL CUSHION MORPHOGENESIS%GOBP%GO:1905315	1		Rejected!	
POSITIVE REGULATION OF CALCIUM:SODIUM ANTIPORTER ACTIVITY%GOBP%GO:1903281	2		Rejected!	
POSITIVE REGULATION OF CELL ACTIVATION%GOBP%GO:0050867	304		Rejected!	
POSITIVE REGULATION OF CYTOTOXIC T CELL DIFFERENTIATION%GOBP%GO:0045585	2		Rejected!	
NEGATIVE REGULATION OF NITRIC-OXIDE SYNTHASE ACTIVITY%GOBP%GO:0051001	4		Rejected!	
SYNAPTIC TRANSMISSION INVOLVED IN MICTURITION%GOBP%GO:0060084	3		Rejected!	
HINDGUT DEVELOPMENT%GOBP%GO:0061525	2		Rejected!	
REGULATION OF LIPOPROTEIN LIPASE ACTIVITY%GOBP%GO:0051004	16		Rejected!	
REGULATION OF MICROTUBULE CYTOSKELETON ORGANIZATION%GOBP%GO:0070507	139	106		
POSITIVE REGULATION OF 1-PHOSPHATIDYLINOSITOL 4-KINASE ACTIVITY%GOBP%GO:0043128	1		Rejected!	
POSITIVE REGULATION OF ANTERIOR HEAD DEVELOPMENT%GOBP%GO:2000744	1		Rejected!	
REGULATION OF CARDIAC MUSCLE CELL DIFFERENTIATION%GOBP%GO:2000725	12		Rejected!	
FORMALDEHYDE CATABOLIC PROCESS%GOBP%GO:0046294	2		Rejected!	
POSITIVE REGULATION OF TOLL-LIKE RECEPTOR 4 SIGNALING PATHWAY%GOBP%GO:0034145	11		Rejected!	
REGULATION OF RESPONSE TO DRUG%GOBP%GO:2001023	1		Rejected!	
NEGATIVE REGULATION OF PROTEIN MODIFICATION PROCESS%GOBP%GO:0031400	387		Rejected!	
NATURAL KILLER CELL DEGRANULATION%GOBP%GO:0043320	6		Rejected!	
REGULATION OF ERAD PATHWAY%GOBP%GO:1904292	19	18		
RESPONSE TO MOLECULE OF BACTERIAL ORIGIN%GOBP%GO:0002237	187	131		
REGULATION OF PROTEIN UBIQUITINATION%GOBP%GO:0031396	173	142		
NEGATIVE REGULATION OF GLUCOSE IMPORT%GOBP%GO:0046325	8		Rejected!	
NEGATIVE REGULATION OF DNA REPAIR%GOBP%GO:0045738	38	23		
MEMBRANE BIOGENESIS%GOBP%GO:0044091	58	44		
REGULATION OF BONE TRABECULA FORMATION%GOBP%GO:1900154	1		Rejected!	
POSITIVE REGULATION OF GERM CELL PROLIFERATION%GOBP%GO:1905938	1		Rejected!	
REGULATION OF CELL DIFFERENTIATION INVOLVED IN PHENOTYPIC SWITCHING%GOBP%GO:1905915	3		Rejected!	
TROPHOBLAST GIANT CELL DIFFERENTIATION%GOBP%GO:0060707	5		Rejected!	
RESPONSE TO INTERLEUKIN-18%GOBP%GO:0070673	5		Rejected!	
OVULATION%GOBP%GO:0030728	2		Rejected!	
POSITIVE REGULATION OF FLAGELLATED SPERM MOTILITY%GOBP%GO:1902093	10		Rejected!	
B CELL COSTIMULATION%GOBP%GO:0031296	3		Rejected!	
PEPTIDYL-LYSINE HYDROXYLATION%GOBP%GO:0017185	8		Rejected!	
ASPARAGINE CATABOLIC PROCESS VIA L-ASPARTATE%GOBP%GO:0033345	1		Rejected!	
EGG COAT FORMATION%GOBP%GO:0035803	1		Rejected!	
LIPOXIN B4 METABOLIC PROCESS%GOBP%GO:2001304	1		Rejected!	
TOLL-LIKE RECEPTOR 7 SIGNALING PATHWAY%GOBP%GO:0034154	4		Rejected!	
CELL PART MORPHOGENESIS%GOBP%GO:0032990	319	172		
FIBROBLAST GROWTH FACTOR RECEPTOR SIGNALING PATHWAY INVOLVED IN POSITIVE REGULATION OF CELL PROLIFERATION IN BONE MARROW%GOBP%GO:0035604	1		Rejected!	
NEGATIVE REGULATION OF PRIMARY MIRNA PROCESSING%GOBP%GO:2000635	3		Rejected!	
NUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009142	93	61		
MITOCHONDRIAL DNA CATABOLIC PROCESS%GOBP%GO:0032043	1		Rejected!	
NEGATIVE REGULATION OF TRIGLYCERIDE METABOLIC PROCESS%GOBP%GO:0090209	7		Rejected!	
REGULATION OF LYMPHANGIOGENESIS%GOBP%GO:1901490	2		Rejected!	
COENZYME A TRANSMEMBRANE TRANSPORT%GOBP%GO:0035349	2		Rejected!	
REGULATION OF NEUROTROPHIN TRK RECEPTOR SIGNALING PATHWAY%GOBP%GO:0051386	5		Rejected!	
REGULATION OF ENDOCRINE PROCESS%GOBP%GO:0044060	23		Rejected!	
REGULATION OF MACROPHAGE FUSION%GOBP%GO:0034239	4		Rejected!	
REGULATION OF SKELETAL MUSCLE FIBER DIFFERENTIATION%GOBP%GO:1902809	2		Rejected!	
NLRP1 INFLAMMASOME COMPLEX ASSEMBLY%GOBP%GO:1904784	1		Rejected!	
POSITIVE REGULATION OF PHOSPHATIDYLSERINE EXPOSURE ON APOPTOTIC CELL SURFACE%GOBP%GO:1905782	1		Rejected!	
POSITIVE REGULATION OF LEUKOCYTE CELL-CELL ADHESION%GOBP%GO:1903039	217	158		
NEUROTRANSMITTER-GATED ION CHANNEL CLUSTERING%GOBP%GO:0072578	7		Rejected!	
MITOCHONDRIAL MANGANESE ION TRANSMEMBRANE TRANSPORT%GOBP%GO:1990540	1		Rejected!	
FOCAL ADHESION ASSEMBLY%GOBP%GO:0048041	22	17		
MESODERMAL-ENDODERMAL CELL SIGNALING%GOBP%GO:0003131	1		Rejected!	
NEGATIVE REGULATION OF CATION TRANSMEMBRANE TRANSPORT%GOBP%GO:1904063	69	39		
POSITIVE REGULATION OF TYPE I INTERFERON PRODUCTION%GOBP%GO:0032481	65	56		
ACTIN CROSSLINK FORMATION%GOBP%GO:0051764	12		Rejected!	
UROKINASE PLASMINOGEN ACTIVATOR SIGNALING PATHWAY%GOBP%GO:0038195	3		Rejected!	
RESPONSE TO THYROID HORMONE%GOBP%GO:0097066	13		Rejected!	
POSITIVE REGULATION OF PANCREATIC JUICE SECRETION%GOBP%GO:0090187	1		Rejected!	
RESPONSE TO CHEMOKINE%GOBP%GO:1990868	68	35		
NEGATIVE REGULATION OF LEUKOCYTE TETHERING OR ROLLING%GOBP%GO:1903237	4		Rejected!	
SEMICIRCULAR CANAL DEVELOPMENT%GOBP%GO:0060872	2		Rejected!	
POSITIVE REGULATION OF BINDING%GOBP%GO:0051099	129	95		
DNA STRAND RESECTION INVOLVED IN REPLICATION FORK PROCESSING%GOBP%GO:0110025	7		Rejected!	
SMOOTH MUSCLE CELL MIGRATION%GOBP%GO:0014909	6		Rejected!	
REGULATION OF AXON EXTENSION%GOBP%GO:0030516	57	33		
REGULATION OF MONOCYTE AGGREGATION%GOBP%GO:1900623	3		Rejected!	
MITRAL VALVE DEVELOPMENT%GOBP%GO:0003174	11		Rejected!	
PHOSPHOLIPASE C-ACTIVATING G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007200	85	30		
TRANSMISSION OF NERVE IMPULSE%GOBP%GO:0019226	22		Rejected!	
PROTEIN LOCALIZATION TO PERINUCLEAR REGION OF CYTOPLASM%GOBP%GO:1905719	9		Rejected!	
POSITIVE REGULATION OF OXIDATIVE PHOSPHORYLATION UNCOUPLER ACTIVITY%GOBP%GO:2000277	2		Rejected!	
'DE NOVO' POST-TRANSLATIONAL PROTEIN FOLDING%GOBP%GO:0051084	33	29		
DENDRITE REGENERATION%GOBP%GO:0031104	1		Rejected!	
TEAR SECRETION%GOBP%GO:0070075	2		Rejected!	
ADENYLATE CYCLASE-INHIBITING OPIOID RECEPTOR SIGNALING PATHWAY%GOBP%GO:0031635	1		Rejected!	
NEGATIVE REGULATION OF MAINTENANCE OF MITOTIC SISTER CHROMATID COHESION%GOBP%GO:0034183	3		Rejected!	
NEGATIVE REGULATION OF MUSCLE HYPERPLASIA%GOBP%GO:0014740	1		Rejected!	
PROTEIN LOCALIZATION TO CAJAL BODY%GOBP%GO:1904867	1		Rejected!	
PURINE NUCLEOSIDE BISPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0034033	49	38		
REGULATION OF FAS SIGNALING PATHWAY%GOBP%GO:1902044	4		Rejected!	
REGULATION OF SMOOTH MUSCLE CELL CHEMOTAXIS%GOBP%GO:0071671	4		Rejected!	
POSITIVE REGULATION OF INTESTINAL LIPID ABSORPTION%GOBP%GO:1904731	4		Rejected!	
SISTER CHROMATID SEGREGATION%GOBP%GO:0000819	152	104		
PROCESS UTILIZING AUTOPHAGIC MECHANISM%GOBP%GO:0061919	210	184		
HEXITOL CATABOLIC PROCESS%GOBP%GO:0019407	1		Rejected!	
REGULATION OF ISOTYPE SWITCHING TO IGE ISOTYPES%GOBP%GO:0048293	3		Rejected!	
NEURON REMODELING%GOBP%GO:0016322	10		Rejected!	
ALPHA-BETA T CELL DIFFERENTIATION%GOBP%GO:0046632	36	20		
REGULATION OF UBIQUITIN-DEPENDENT ENDOCYTOSIS%GOBP%GO:2000395	1		Rejected!	
NEGATIVE ADAPTATION OF SIGNALING PATHWAY%GOBP%GO:0022401	13		Rejected!	
POSITIVE REGULATION OF LIPID LOCALIZATION%GOBP%GO:1905954	82	53		
CYTIDINE TO URIDINE EDITING%GOBP%GO:0016554	12		Rejected!	
AMINOACYL-TRNA METABOLISM INVOLVED IN TRANSLATIONAL FIDELITY%GOBP%GO:0106074	1		Rejected!	
REGULATION OF VASCULAR ASSOCIATED SMOOTH MUSCLE CELL PROLIFERATION%GOBP%GO:1904705	38	29		
MITOTIC SPINDLE MIDZONE ASSEMBLY%GOBP%GO:0051256	11		Rejected!	
RNA DECAPPING%GOBP%GO:0110154	15		Rejected!	
REGULATION OF PROTEIN LIPIDATION%GOBP%GO:1903059	11		Rejected!	
NICOTINAMIDE RIBOSIDE CATABOLIC PROCESS%GOBP%GO:0006738	2		Rejected!	
SNRNA IMPORT INTO NUCLEUS%GOBP%GO:0061015	1		Rejected!	
NEGATIVE REGULATION OF POST-TRANSCRIPTIONAL GENE SILENCING%GOBP%GO:0060149	16		Rejected!	
RESPONSE TO ARSENITE ION%GOBP%GO:1903842	4		Rejected!	
REGULATION OF SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR%GOBP%GO:1901796	89	72		
CALCINEURIN-MEDIATED SIGNALING%GOBP%GO:0097720	13		Rejected!	
CAMP METABOLIC PROCESS%GOBP%GO:0046058	13		Rejected!	
DIAPHRAGM DEVELOPMENT%GOBP%GO:0060539	5		Rejected!	
SHORT-CHAIN FATTY ACID CATABOLIC PROCESS%GOBP%GO:0019626	6		Rejected!	
NEGATIVE REGULATION OF INTRINSIC APOPTOTIC SIGNALING PATHWAY IN RESPONSE TO DNA DAMAGE%GOBP%GO:1902230	26	21		
POSITIVE REGULATION OF TELOMERASE RNA REVERSE TRANSCRIPTASE ACTIVITY%GOBP%GO:1905663	2		Rejected!	
CELLULAR DEFENSE RESPONSE%GOBP%GO:0006968	49	25		
BMP SIGNALING PATHWAY INVOLVED IN HEART DEVELOPMENT%GOBP%GO:0061312	5		Rejected!	
REGULATION OF INNER EAR AUDITORY RECEPTOR CELL FATE SPECIFICATION%GOBP%GO:0042669	1		Rejected!	
REGULATION OF PROTEIN MATURATION%GOBP%GO:1903317	52	33		
METHYLAMMONIUM TRANSPORT%GOBP%GO:0015843	1		Rejected!	
MEIOTIC MISMATCH REPAIR%GOBP%GO:0000710	1		Rejected!	
REGULATION OF INTRINSIC APOPTOTIC SIGNALING PATHWAY IN RESPONSE TO DNA DAMAGE%GOBP%GO:1902229	30	24		
GANGLIOSIDE BIOSYNTHETIC PROCESS VIA LACTOSYLCERAMIDE%GOBP%GO:0010706	5		Rejected!	
NEGATIVE REGULATION OF FIBROBLAST PROLIFERATION%GOBP%GO:0048147	18	16		
REGULATION OF MYELINATION%GOBP%GO:0031641	27	18		
SUBSTRATE LOCALIZATION TO AUTOPHAGOSOME%GOBP%GO:0061753	2		Rejected!	
PENTOSE CATABOLIC PROCESS%GOBP%GO:0019323	3		Rejected!	
CELLULAR COMPONENT ASSEMBLY%GOBP%GO:0022607	2056		Rejected!	
POST-TRANSLATIONAL PROTEIN TARGETING TO MEMBRANE, TRANSLOCATION%GOBP%GO:0031204	8		Rejected!	
POSTERIOR LATERAL LINE NEUROMAST HAIR CELL DEVELOPMENT%GOBP%GO:0035677	1		Rejected!	
ENDOTHELIN MATURATION%GOBP%GO:0034959	1		Rejected!	
REGULATION OF TUBE SIZE%GOBP%GO:0035150	65	33		
CORTICAL ACTIN CYTOSKELETON ORGANIZATION%GOBP%GO:0030866	28	27		
MRNA CATABOLIC PROCESS%GOBP%GO:0006402	117	104		
IMPORT INTO NUCLEUS%GOBP%GO:0051170	86	70		
MUSCLE HYPERPLASIA%GOBP%GO:0014900	2		Rejected!	
NEPHRON TUBULE DEVELOPMENT%GOBP%GO:0072080	36		Rejected!	
POSITIVE REGULATION OF NUCLEOBASE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0045935	1625		Rejected!	
GUANOSINE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:1901068	1		Rejected!	
REGULATION OF RIBOSOME BIOGENESIS%GOBP%GO:0090069	5		Rejected!	
REGULATION OF MELANOCYTE DIFFERENTIATION%GOBP%GO:0045634	1		Rejected!	
NEGATIVE REGULATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY INVOLVED IN EXECUTION PHASE OF APOPTOSIS%GOBP%GO:2001271	3		Rejected!	
CELL-SUBSTRATE JUNCTION ORGANIZATION%GOBP%GO:0150115	30	24		
CILIARY NEUROTROPHIC FACTOR-MEDIATED SIGNALING PATHWAY%GOBP%GO:0070120	5		Rejected!	
NUCLEOTIDE SALVAGE%GOBP%GO:0043173	9		Rejected!	
REGULATION OF PIGMENT CELL DIFFERENTIATION%GOBP%GO:0050932	3		Rejected!	
REGULATION OF NOREPINEPHRINE UPTAKE%GOBP%GO:0051621	2		Rejected!	
POSITIVE REGULATION OF OVULATION%GOBP%GO:0060279	2		Rejected!	
NEGATIVE REGULATION OF MELANIN BIOSYNTHETIC PROCESS%GOBP%GO:0048022	2		Rejected!	
ABDUCENS NERVE DEVELOPMENT%GOBP%GO:0021560	2		Rejected!	
PURINE-CONTAINING COMPOUND SALVAGE%GOBP%GO:0043101	9		Rejected!	
REGULATION OF NERVOUS SYSTEM PROCESS%GOBP%GO:0031644	84	33		
VEIN SMOOTH MUSCLE CONTRACTION%GOBP%GO:0014826	4		Rejected!	
B CELL ACTIVATION%GOBP%GO:0042113	123	76		
POSITIVE REGULATION OF RNA METABOLIC PROCESS%GOBP%GO:0051254	1435		Rejected!	
N-ACETYLNEURAMINATE BIOSYNTHETIC PROCESS%GOBP%GO:0046380	1		Rejected!	
PENTOSE-PHOSPHATE SHUNT, NON-OXIDATIVE BRANCH%GOBP%GO:0009052	6		Rejected!	
CELLULAR RESPONSE TO FLUID SHEAR STRESS%GOBP%GO:0071498	12		Rejected!	
REGULATORY NCRNA 3'-END PROCESSING%GOBP%GO:0043628	19	17		
REGULATION OF RESTING MEMBRANE POTENTIAL%GOBP%GO:0060075	6		Rejected!	
ADHERENS JUNCTION ORGANIZATION%GOBP%GO:0034332	39	19		
HISTONE H3-K27 METHYLATION%GOBP%GO:0070734	4		Rejected!	
PITUITARY GLAND DEVELOPMENT%GOBP%GO:0021983	11		Rejected!	
CELLULAR RESPONSE TO GROWTH FACTOR STIMULUS%GOBP%GO:0071363	308	188		
TRANS-SYNAPTIC SIGNALING BY NEUROPEPTIDE%GOBP%GO:0099540	1		Rejected!	
POSITIVE REGULATION OF LENS FIBER CELL DIFFERENTIATION%GOBP%GO:1902748	1		Rejected!	
DIOL METABOLIC PROCESS%GOBP%GO:0034311	26	18		
REGULATION OF NEUTROPHIL MEDIATED KILLING OF GRAM-NEGATIVE BACTERIUM%GOBP%GO:0070951	1		Rejected!	
POSITIVE REGULATION OF ENDOTHELIAL CELL DIFFERENTIATION%GOBP%GO:0045603	4		Rejected!	
REGULATION OF GAMMA-DELTA T CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:2001191	1		Rejected!	
REGULATION OF OOCYTE DEVELOPMENT%GOBP%GO:0060281	2		Rejected!	
PURINE NUCLEOBASE SALVAGE%GOBP%GO:0043096	4		Rejected!	
NEGATIVE REGULATION OF ESTABLISHMENT OF ENDOTHELIAL BARRIER%GOBP%GO:1903141	2		Rejected!	
REGULATION OF GLUCOSYLCERAMIDE BIOSYNTHETIC PROCESS%GOBP%GO:0046317	1		Rejected!	
CARDIOLIPIN BIOSYNTHETIC PROCESS%GOBP%GO:0032049	8		Rejected!	
REGULATION OF CDC42 PROTEIN SIGNAL TRANSDUCTION%GOBP%GO:0032489	8		Rejected!	
REGULATION OF PROTON TRANSPORT%GOBP%GO:0010155	18		Rejected!	
POSITIVE REGULATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY%GOBP%GO:2001056	128	96		
BIOLOGICAL PROCESS INVOLVED IN INTERACTION WITH SYMBIONT%GOBP%GO:0051702	102	72		
CGMP-MEDIATED SIGNALING%GOBP%GO:0019934	18		Rejected!	
NEGATIVE REGULATION OF EXCITATORY POSTSYNAPTIC POTENTIAL%GOBP%GO:0090394	6		Rejected!	
MDA-5 SIGNALING PATHWAY%GOBP%GO:0039530	4		Rejected!	
NEGATIVE REGULATION OF STORE-OPERATED CALCIUM CHANNEL ACTIVITY%GOBP%GO:1901340	1		Rejected!	
NEGATIVE REGULATION OF PROTEIN ADP-RIBOSYLATION%GOBP%GO:0010836	4		Rejected!	
POSITIVE REGULATION OF HAIR FOLLICLE CELL PROLIFERATION%GOBP%GO:0071338	1		Rejected!	
HEAD DEVELOPMENT%GOBP%GO:0060322	408		Rejected!	
NEGATIVE REGULATION OF CILIUM-DEPENDENT CELL MOTILITY%GOBP%GO:1902020	2		Rejected!	
POSITIVE REGULATION OF BLOOD VESSEL REMODELING%GOBP%GO:2000504	2		Rejected!	
NEGATIVE REGULATION OF PROTEIN GLUTATHIONYLATION%GOBP%GO:0010734	2		Rejected!	
